橋梁ID,点検年1,BCI1,点検年2,BCI2,
24,2011,75,2013,74.3,2
24,2013,74.3,2015,73.8,2
24,2015,73.8,2017,73.5,2
25,1977,100,2001,97.3,24
25,2001,97.3,2003,71.5,2
25,2003,71.5,2005,68.1,2
25,2005,68.1,2006,68.1,1
25,2006,68.1,2007,68.1,1
25,2009,71.6,2011,71.6,2
25,2013,75.2,2015,75.1,2
25,2015,75.1,2017,75,2
26,1930,100,2001,73.3,71
26,2001,73.3,2003,73.2,2
26,2003,73.2,2005,68.1,2
26,2005,68.1,2006,67.3,1
26,2006,67.3,2007,66.2,1
26,2007,66.2,2009,62,2
26,2009,62,2011,62,2
26,2013,76.6,2015,76.1,2
26,2015,76.1,2017,74.6,2
27,1930,100,2001,74.3,71
27,2001,74.3,2003,74.2,2
27,2003,74.2,2005,72.7,2
27,2005,72.7,2006,72.7,1
27,2006,72.7,2007,71.2,1
27,2007,71.2,2009,70.4,2
27,2009,70.4,2011,70.4,2
27,2013,74.4,2015,73.6,2
27,2015,73.6,2017,73.3,2
28,1970,100,2001,70.9,31
28,2003,71.8,2005,71.8,2
28,2005,71.8,2006,70.4,1
28,2006,70.4,2007,69.7,1
28,2007,69.7,2009,68.9,2
28,2009,68.9,2011,64.4,2
28,2011,64.4,2013,64.4,2
28,2013,64.4,2015,64.1,2
28,2015,64.1,2017,63.1,2
29,1956,100,2014,66.3,58
29,2015,66.4,2017,66.4,2
30,1975,100,2000,93.1,25
30,2000,93.1,2002,73.6,2
30,2002,73.6,2004,73.1,2
30,2004,73.1,2006,73.1,2
30,2006,73.1,2008,72.9,2
30,2008,72.9,2010,72.6,2
30,2010,72.6,2012,72.5,2
30,2012,72.5,2014,70.9,2
30,2014,70.9,2016,70.7,2
31,1975,100,2000,93,25
31,2000,93,2002,72.7,2
31,2004,73.5,2006,71.7,2
31,2006,71.7,2008,70.2,2
31,2008,70.2,2010,69.8,2
31,2010,69.8,2012,68.1,2
31,2012,68.1,2014,66.3,2
31,2014,66.3,2016,66.2,2
32,1974,100,2000,96.1,26
32,2000,96.1,2002,74.3,2
32,2002,74.3,2004,73,2
32,2004,73,2006,72.7,2
32,2006,72.7,2008,69.4,2
32,2008,69.4,2010,68.8,2
32,2010,68.8,2012,68.7,2
32,2012,68.7,2014,67.5,2
32,2014,67.5,2016,67.1,2
33,1975,100,2000,94.2,25
33,2000,94.2,2002,73.8,2
33,2004,74.8,2006,72,2
33,2006,72,2008,71.9,2
33,2008,71.9,2010,71.2,2
33,2010,71.2,2012,69.9,2
33,2012,69.9,2014,68.8,2
33,2014,68.8,2016,68.6,2
34,1974,100,2000,96.4,26
34,2000,96.4,2002,73.9,2
34,2002,73.9,2005,73.6,3
34,2006,74.1,2008,73.9,2
34,2008,73.9,2010,73.7,2
34,2010,73.7,2012,73.7,2
34,2012,73.7,2014,72.7,2
34,2014,72.7,2016,72.4,2
35,1974,100,2000,96.2,26
35,2000,96.2,2002,74.5,2
35,2002,74.5,2005,71.2,3
35,2006,72.5,2008,72.4,2
35,2008,72.4,2010,72.2,2
35,2010,72.2,2012,66.8,2
35,2012,66.8,2014,65.1,2
35,2014,65.1,2016,64.6,2
36,1973,100,2000,94.8,27
36,2000,94.8,2002,74,2
36,2002,74,2005,73.4,3
36,2005,73.4,2006,72.8,1
36,2006,72.8,2008,72.7,2
36,2008,72.7,2010,72,2
36,2010,72,2012,68.6,2
36,2012,68.6,2014,66.3,2
36,2014,66.3,2016,65.2,2
37,1975,100,2000,92.4,25
37,2000,92.4,2002,72.7,2
37,2002,72.7,2004,65.6,2
37,2008,70.7,2010,70.5,2
37,2010,70.5,2012,69.3,2
37,2012,69.3,2014,67.7,2
37,2014,67.7,2016,67.1,2
38,1973,100,2000,94.3,27
38,2000,94.3,2002,74.7,2
38,2002,74.7,2004,73.6,2
38,2006,73.7,2008,73.7,2
38,2008,73.7,2010,73.5,2
38,2010,73.5,2012,72.3,2
38,2012,72.3,2014,70.1,2
38,2014,70.1,2016,70,2
39,1973,100,2004,75,31
39,2004,75,2006,75,2
39,2006,75,2008,74.1,2
39,2010,74.4,2012,74.3,2
39,2012,74.3,2014,72.6,2
39,2014,72.6,2016,72.3,2
40,1973,100,2004,75,31
40,2004,75,2006,75,2
40,2006,75,2008,73.5,2
40,2008,73.5,2010,73.4,2
40,2012,74.6,2014,70.5,2
40,2014,70.5,2016,69.1,2
41,1974,100,2006,75,32
41,2006,75,2008,73.5,2
41,2010,74.6,2012,74.5,2
41,2012,74.5,2014,69.2,2
41,2014,69.2,2016,68.5,2
42,1973,100,2000,91.5,27
42,2000,91.5,2002,71.2,2
42,2002,71.2,2005,68.1,3
42,2006,72.4,2008,66.5,2
42,2008,66.5,2010,66.3,2
42,2010,66.3,2012,66,2
42,2012,66,2014,65.4,2
42,2014,65.4,2016,65.2,2
43,1974,100,2004,72.9,30
43,2004,72.9,2006,66.1,2
43,2008,69.3,2010,67.9,2
44,1982,100,2004,74.7,22
44,2004,74.7,2006,74.3,2
44,2006,74.3,2007,74.3,1
44,2007,74.3,2009,73.1,2
44,2011,73.3,2013,73.2,2
44,2015,100,2017,100,2
45,1982,100,2001,79.6,19
45,2001,79.6,2003,73.3,2
45,2003,73.3,2005,72.7,2
45,2005,72.7,2007,71.3,2
45,2009,71.7,2011,71.6,2
45,2011,71.6,2013,71.2,2
45,2013,71.2,2015,70.7,2
45,2015,70.7,2017,70.7,2
46,1997,100,2001,97.7,4
46,2001,97.7,2003,92.1,2
46,2003,92.1,2005,89.6,2
46,2005,89.6,2007,85.4,2
