橋梁ID,点検年1,BCI1,点検年2,BCI2,
351,2015,74,2017,73.9,2
352,1981,100,2001,97.1,20
352,2001,97.1,2004,97.1,3
352,2004,97.1,2006,73.9,2
352,2007,74.3,2009,73.3,2
352,2009,73.3,2011,72.5,2
352,2011,72.5,2013,72.2,2
352,2013,72.2,2015,71.1,2
353,1974,100,2005,75,31
353,2005,75,2007,74.5,2
353,2009,75,2011,74.9,2
353,2011,74.9,2013,74.9,2
353,2013,74.9,2015,74.9,2
353,2015,74.9,2017,74.8,2
354,1970,100,2007,78.4,37
354,2007,78.4,2009,76.5,2
354,2011,77.4,2013,77.3,2
354,2013,77.3,2015,76.1,2
355,1994,100,2007,81.4,13
355,2007,81.4,2009,73.6,2
355,2009,73.6,2011,73,2
355,2011,73,2013,73,2
355,2015,74.2,2017,74.1,2
356,1995,100,2007,96,12
356,2007,96,2011,89.2,4
356,2013,91.1,2015,88.7,2
356,2015,88.7,2017,86.7,2
357,1995,100,2007,70.7,12
357,2007,70.7,2009,69.9,2
357,2013,72.8,2015,72.8,2
357,2015,72.8,2017,72.6,2
358,1996,100,2007,74.9,11
358,2007,74.9,2009,74.1,2
358,2009,74.1,2011,73.4,2
358,2013,74.3,2015,73.9,2
358,2015,73.9,2017,73.8,2
359,1996,100,2007,94.1,11
359,2007,94.1,2011,89.8,4
359,2013,91,2015,89.1,2
359,2015,89.1,2017,87.8,2
360,1996,100,2007,74.7,11
360,2007,74.7,2009,74.2,2
360,2009,74.2,2011,73.2,2
360,2013,73.9,2015,73.5,2
360,2015,73.5,2017,73.4,2
361,1995,100,2001,74.4,6
361,2003,96.6,2005,92.2,2
361,2006,96.2,2007,95.6,1
361,2007,95.6,2008,94.5,1
361,2008,94.5,2010,94.3,2
361,2010,94.3,2012,93.3,2
361,2012,93.3,2014,84,2
362,1978,100,2001,67.6,23
362,2003,92.5,2005,73.3,2
362,2005,73.3,2007,71.6,2
362,2007,71.6,2009,71.5,2
362,2009,71.5,2011,71.5,2
362,2013,72.8,2015,72.2,2
362,2015,72.2,2017,72,2
363,1978,100,2001,67.9,23
363,2003,93,2005,73,2
363,2005,73,2007,71.9,2
363,2009,72.1,2011,71.8,2
363,2013,72.5,2015,72.4,2
363,2015,72.4,2017,72.1,2
364,1978,100,2001,67.1,23
364,2003,80.1,2005,70.4,2
364,2005,70.4,2007,69.5,2
364,2009,71,2011,70.7,2
364,2011,70.7,2013,70.1,2
364,2015,71.2,2017,70,2
365,1979,100,2001,67.6,22
365,2003,91.8,2005,72.5,2
365,2005,72.5,2007,72.2,2
365,2009,72.3,2011,71.7,2
365,2011,71.7,2013,71.1,2
365,2013,71.1,2015,70.9,2
365,2015,70.9,2017,70.8,2
366,1979,100,2001,67.9,22
366,2003,91.3,2005,72.5,2
366,2005,72.5,2007,72.4,2
366,2007,72.4,2009,72.1,2
366,2009,72.1,2011,71.6,2
366,2011,71.6,2013,70.7,2
366,2013,70.7,2015,70.7,2
366,2015,70.7,2017,70.6,2
367,1979,100,2001,67,22
367,2003,93.4,2005,74.5,2
367,2005,74.5,2007,74.1,2
367,2007,74.1,2009,74.1,2
367,2009,74.1,2011,74,2
367,2011,74,2013,73.5,2
367,2013,73.5,2015,72.7,2
368,1979,100,2001,67.2,22
368,2003,92.7,2005,74.5,2
368,2005,74.5,2007,74.1,2
368,2011,74.5,2013,74.2,2
368,2013,74.2,2015,73.5,2
369,1981,100,2001,67,20
369,2003,91.6,2005,73.8,2
369,2005,73.8,2007,73.5,2
369,2007,73.5,2009,73.5,2
369,2009,73.5,2011,73,2
369,2011,73,2013,71.7,2
369,2013,71.7,2015,71.2,2
369,2015,71.2,2017,71.1,2
370,1981,100,2001,67.5,20
370,2003,91.8,2005,74,2
370,2005,74,2007,73.3,2
370,2009,73.5,2011,72.9,2
370,2011,72.9,2013,72.4,2
370,2013,72.4,2015,72.2,2
371,1981,100,2001,67.4,20
371,2003,91.1,2005,74.7,2
371,2005,74.7,2007,74.3,2
371,2009,74.6,2011,74.5,2
371,2011,74.5,2013,73.9,2
371,2013,73.9,2015,73.2,2
372,1981,100,2001,67.4,20
372,2003,91.7,2005,74,2
372,2005,74,2007,73.2,2
372,2009,73.5,2011,73.4,2
372,2011,73.4,2013,72.5,2
372,2013,72.5,2015,72.5,2
372,2015,72.5,2017,72.5,2
373,1980,100,2007,74.7,27
373,2007,74.7,2009,73.8,2
373,2011,73.9,2013,73.1,2
373,2013,73.1,2015,73.1,2
373,2015,73.1,2017,72.7,2
374,1981,100,2001,67.1,20
374,2003,90.9,2005,74.1,2
374,2005,74.1,2007,73.4,2
374,2009,73.5,2011,73,2
374,2013,73.4,2015,72.8,2
374,2015,72.8,2017,72.7,2
375,1979,100,2001,68,22
375,2003,95,2005,74.3,2
375,2005,74.3,2007,74.3,2
375,2009,74.8,2011,74.6,2
375,2011,74.6,2013,74.4,2
375,2013,74.4,2015,74.3,2
375,2015,74.3,2017,74.1,2
376,1976,100,2001,68,25
376,2003,95,2005,71.1,2
376,2005,71.1,2006,71.1,1
376,2006,71.1,2007,71,1
376,2008,71.2,2010,70.5,2
376,2010,70.5,2012,70.5,2
376,2012,70.5,2014,70.1,2
377,1976,100,2001,68,25
377,2003,95,2005,73.8,2
377,2005,73.8,2006,73.5,1
377,2006,73.5,2007,71.9,1
377,2007,71.9,2008,71.9,1
377,2008,71.9,2010,70.2,2
377,2010,70.2,2012,69.7,2
377,2012,69.7,2014,69.4,2
378,1976,100,2001,65.7,25
378,2003,69.7,2005,64.1,2
378,2005,64.1,2007,63.5,2
378,2008,67.2,2010,66.8,2
378,2010,66.8,2012,66.7,2
378,2012,66.7,2014,66.5,2
378,2014,66.5,2016,65.2,2
379,1976,100,2001,66,25
379,2003,80.6,2005,56.9,2
379,2008,69.1,2010,67.9,2
379,2010,67.9,2012,66.5,2
379,2012,66.5,2014,65.1,2
379,2014,65.1,2016,63.3,2
380,1976,100,2001,68,25
380,2003,95,2005,75,2
380,2005,75,2007,73.6,2
380,2009,73.9,2011,73.3,2
380,2011,73.3,2013,73,2
380,2013,73,2015,72.5,2
380,2015,72.5,2017,71.8,2
381,1976,100,2001,68,25
381,2003,95,2005,74,2
381,2005,74,2007,72.8,2
381,2007,72.8,2009,72.8,2
381,2009,72.8,2011,70.4,2
381,2011,70.4,2013,70.3,2
381,2013,70.3,2015,70,2
381,2015,70,2017,69.8,2
382,1976,100,2001,68,25
382,2003,95,2005,73.3,2
382,2005,73.3,2007,73,2
382,2007,73,2009,73,2
382,2009,73,2011,70.3,2
382,2011,70.3,2013,70.1,2
382,2013,70.1,2015,69.4,2
383,1976,100,2001,68,25
383,2003,95,2005,70.8,2
383,2005,70.8,2007,68.5,2
383,2009,71.7,2011,68.6,2
383,2013,68.7,2015,67.7,2
384,1976,100,2001,68,25
384,2003,95,2005,67.6,2
384,2005,67.6,2007,67,2
384,2009,70,2011,69.7,2
384,2011,69.7,2013,69.7,2
384,2013,69.7,2015,68.6,2
385,1976,100,2001,68,25
385,2003,95,2005,70.4,2
385,2005,70.4,2007,70.1,2
385,2009,71.3,2011,70.6,2
385,2011,70.6,2013,70.6,2
385,2013,70.6,2015,69.4,2
386,1976,100,2001,68,25
386,2003,95,2005,67.7,2
386,2005,67.7,2007,67.1,2
386,2009,73.3,2011,71.6,2
386,2011,71.6,2013,70.3,2
386,2013,70.3,2015,69.7,2
387,1976,100,2001,68,25
387,2003,95,2005,75,2
387,2005,75,2007,73.1,2
387,2009,74.1,2011,73.5,2
387,2013,73.7,2015,72.7,2
388,1980,100,2001,64.5,21
388,2003,94.5,2005,72.7,2
388,2005,72.7,2007,72.1,2
388,2007,72.1,2009,71,2
388,2009,71,2011,62.9,2
388,2011,62.9,2013,62.5,2
388,2013,62.5,2015,62.2,2
389,1980,100,2001,68,21
389,2003,95,2005,73.2,2
389,2007,76.4,2009,75,2
389,2009,75,2011,73.8,2
389,2011,73.8,2013,73.7,2
389,2013,73.7,2015,73.1,2
389,2015,73.1,2017,73,2
390,1978,100,2001,68,23
390,2005,74.5,2007,74.5,2
390,2007,74.5,2009,73.7,2
390,2009,73.7,2011,72.2,2
390,2011,72.2,2013,72.1,2
390,2013,72.1,2015,71.5,2
390,2015,71.5,2017,71.4,2
391,1978,100,2001,68,23
391,2001,68,2003,68,2
391,2003,68,2005,63.5,2
391,2009,70.7,2011,70.6,2
391,2013,70.7,2015,70.5,2
392,1977,100,2003,95,26
392,2003,95,2005,63.9,2
392,2007,73.3,2009,72.8,2
392,2009,72.8,2011,71.6,2
392,2013,71.7,2015,71,2
393,1977,100,2001,68,24
393,2003,95,2005,68.1,2
393,2007,71.6,2009,71.6,2
393,2009,71.6,2011,70.9,2
393,2011,70.9,2013,70.7,2
393,2013,70.7,2015,70.1,2
394,1980,100,2001,68,21
394,2003,95,2005,60.7,2
394,2007,61.9,2009,60.2,2
394,2011,61.8,2013,60.5,2
394,2013,60.5,2015,59.4,2
395,1987,100,2005,75,18
395,2005,75,2007,75,2
395,2007,75,2008,75,1
395,2008,75,2010,74.7,2
395,2010,74.7,2012,74.6,2
395,2012,74.6,2014,74.1,2
395,2014,74.1,2016,74.1,2
396,1998,100,2005,75,7
396,2005,75,2007,75,2
396,2009,97.2,2011,97.2,2
396,2011,97.2,2013,97,2
396,2013,97,2015,92.9,2
396,2015,92.9,2017,80.1,2
397,1978,100,2005,74.1,27
397,2005,74.1,2007,73.2,2
397,2009,73.3,2011,72.6,2
397,2011,72.6,2013,72.6,2
397,2013,72.6,2015,72.2,2
397,2015,72.2,2017,72,2
398,1978,100,2005,71.9,27
398,2005,71.9,2007,71.9,2
398,2007,71.9,2009,71.9,2
398,2009,71.9,2011,70.8,2
398,2013,70.9,2015,70.7,2
398,2015,70.7,2017,70.6,2
399,1931,100,2003,75,72
399,2003,75,2005,75,2
399,2005,75,2007,74.6,2
399,2007,74.6,2009,74.4,2
399,2009,74.4,2011,73.9,2
399,2013,74.7,2015,74,2
399,2015,74,2017,73.8,2
400,1923,100,2001,75,78
400,2001,75,2003,75,2
400,2003,75,2005,73.2,2
400,2005,73.2,2007,72.5,2
400,2007,72.5,2009,72.5,2
400,2009,72.5,2011,69.3,2
400,2011,69.3,2013,68.6,2
400,2013,68.6,2015,68,2
400,2015,68,2017,67.9,2
401,1976,100,2001,74.3,25
401,2001,74.3,2003,54.7,2
401,2003,54.7,2005,51.5,2
401,2005,51.5,2007,50,2
401,2009,71.5,2011,65.7,2
401,2011,65.7,2013,65.7,2
401,2015,67.4,2017,67,2
402,1976,100,2001,75,25
402,2001,75,2003,75,2
402,2003,75,2005,67.3,2
402,2005,67.3,2007,66.4,2
402,2009,72.4,2011,68.9,2
402,2011,68.9,2013,68.2,2
402,2015,73.6,2017,73.4,2
403,1976,100,2001,75,25
403,2001,75,2003,75,2
403,2003,75,2005,75,2
403,2005,75,2007,74.2,2
403,2007,74.2,2009,74.2,2
403,2009,74.2,2011,72.3,2
403,2013,75.3,2015,74.6,2
403,2015,74.6,2017,74.3,2
404,1956,100,2000,71.3,44
404,2000,71.3,2002,68.3,2
404,2002,68.3,2004,68.1,2
404,2004,68.1,2006,64.8,2
404,2006,64.8,2008,64.7,2
404,2010,70.3,2011,70.2,1
404,2013,70.5,2015,69.9,2
404,2015,69.9,2017,69.9,2
405,1961,100,2002,75,41
405,2002,75,2004,74.8,2
405,2004,74.8,2006,72.4,2
405,2006,72.4,2007,71.4,1
405,2009,73.9,2011,70.6,2
405,2013,73.1,2015,72.2,2
405,2015,72.2,2017,72.2,2
406,1961,100,2002,75,41
406,2002,75,2004,39.6,2
406,2006,66.8,2007,60,1
406,2009,70.2,2011,69.8,2
406,2013,73.5,2015,70.4,2
406,2015,70.4,2017,70.1,2
407,1962,100,2002,75,40
407,2002,75,2004,75,2
407,2004,75,2006,75,2
407,2006,75,2007,75,1
407,2007,75,2009,74.3,2
407,2009,74.3,2011,72.9,2
407,2013,73.6,2015,73.6,2
408,1965,100,2000,71.7,35
408,2000,71.7,2002,71.3,2
408,2004,72,2006,71.8,2
408,2008,72,2010,69.5,2
408,2014,78.7,2016,77.7,2
409,1956,100,2009,67.1,53
409,2009,67.1,2013,66.3,4
410,1958,100,2003,70.6,45
410,2008,73.6,2010,73,2
410,2010,73,2012,72.9,2
410,2012,72.9,2014,70,2
411,1958,100,2000,74.3,42
411,2004,75,2006,75,2
411,2006,75,2008,75,2
411,2008,75,2010,73.6,2
411,2010,73.6,2012,72.8,2
411,2012,72.8,2014,72.4,2
411,2014,72.4,2016,72.4,2
412,2004,100,2006,100,2
412,2006,100,2008,99.9,2
412,2008,99.9,2010,96.1,2
412,2010,96.1,2012,96.1,2
412,2012,96.1,2014,95.5,2
412,2014,95.5,2016,88.1,2
413,1958,100,2000,75,42
413,2000,75,2002,67.4,2
413,2002,67.4,2004,66.4,2
413,2004,66.4,2006,66.4,2
413,2010,73,2012,72,2
413,2012,72,2014,71.6,2
414,1958,100,2000,71.5,42
414,2000,71.5,2002,71.5,2
414,2002,71.5,2004,70.8,2
414,2004,70.8,2006,70.8,2
414,2006,70.8,2008,70.6,2
414,2008,70.6,2010,70.5,2
414,2010,70.5,2012,68.8,2
414,2012,68.8,2014,68,2
415,1985,100,2000,73.4,15
415,2000,73.4,2002,73.4,2
415,2004,74.9,2006,74.9,2
415,2006,74.9,2008,74.9,2
415,2008,74.9,2010,74.7,2
415,2010,74.7,2012,74.7,2
415,2012,74.7,2014,74.1,2
416,1991,100,2000,74.9,9
416,2000,74.9,2002,74.9,2
416,2002,74.9,2004,74.9,2
416,2004,74.9,2006,74.9,2
416,2008,78.1,2010,77.9,2
416,2010,77.9,2012,74.7,2
416,2012,74.7,2014,74.7,2
416,2014,74.7,2016,74.7,2
417,1990,100,2000,74.8,10
417,2000,74.8,2002,74.8,2
417,2006,75,2008,74.5,2
417,2008,74.5,2010,74.4,2
417,2014,74.6,2016,74.6,2
418,1992,100,2000,75,8
418,2000,75,2002,75,2
418,2002,75,2004,75,2
418,2004,75,2006,75,2
418,2006,75,2008,74.7,2
418,2008,74.7,2010,74.1,2
418,2012,74.9,2014,74.8,2
418,2014,74.8,2016,74.6,2
419,1992,100,2000,75,8
419,2000,75,2002,75,2
419,2002,75,2004,75,2
419,2004,75,2006,75,2
419,2006,75,2008,74.7,2
419,2008,74.7,2010,73.8,2
419,2012,74.9,2014,74.5,2
419,2014,74.5,2016,74.4,2
420,1991,100,2000,74.8,9
420,2000,74.8,2002,74.6,2
420,2002,74.6,2004,74.6,2
420,2006,74.9,2008,74.7,2
420,2008,74.7,2010,74.6,2
420,2010,74.6,2012,74.6,2
420,2014,74.7,2016,74.7,2
421,1990,100,2000,74.5,10
421,2000,74.5,2002,74.2,2
421,2004,74.8,2006,74.8,2
421,2008,77.9,2010,77.5,2
421,2010,77.5,2012,77.2,2
421,2012,77.2,2014,77.1,2
421,2014,77.1,2016,77,2
422,1990,100,2000,74.7,10
422,2004,74.9,2006,74.9,2
422,2006,74.9,2008,74.6,2
422,2008,74.6,2010,74.6,2
422,2010,74.6,2012,74.5,2
422,2012,74.5,2014,74.3,2
422,2014,74.3,2016,74.1,2
423,1959,100,2007,74,48
423,2007,74,2011,73.2,4
423,2011,73.2,2015,72.5,4
424,1959,100,2007,75,48
424,2007,75,2009,65.9,2
424,2013,66.6,2017,65.2,4
425,1958,100,2007,70.3,49
425,2011,72.8,2015,72.3,4
426,1958,100,2007,75,49
426,2007,75,2011,70.8,4
426,2011,70.8,2015,70.5,4
427,1958,100,2007,60.6,49
427,2007,60.6,2011,59.5,4
427,2011,59.5,2015,58.2,4
428,1958,100,2007,71.2,49
428,2007,71.2,2011,71.1,4
428,2011,71.1,2015,70.8,4
429,1958,100,2007,75,49
429,2007,75,2011,70.7,4
429,2011,70.7,2015,70.5,4
430,1958,100,2007,75,49
430,2007,75,2011,72.3,4
430,2011,72.3,2015,72,4
431,1958,100,2007,71.5,49
431,2007,71.5,2011,71.3,4
431,2011,71.3,2015,71.1,4
432,1958,100,2000,73.3,42
432,2000,73.3,2006,61.2,6
432,2010,67.6,2014,67.4,4
433,1957,100,2007,70.7,50
433,2007,70.7,2011,70.4,4
433,2011,70.4,2015,70.1,4
434,1957,100,2007,77.4,50
434,2007,77.4,2009,74.1,2
434,2009,74.1,2011,72,2
434,2013,74.1,2015,73.5,2
434,2015,73.5,2017,73.2,2
435,1957,100,2007,77.1,50
435,2007,77.1,2009,74.3,2
435,2009,74.3,2011,72,2
435,2013,72.6,2015,72.2,2
435,2015,72.2,2017,72.2,2
436,1983,100,2007,77.7,24
436,2007,77.7,2009,72.3,2
436,2009,72.3,2011,70.8,2
436,2011,70.8,2013,67,2
436,2013,67,2015,66.5,2
436,2015,66.5,2017,66.4,2
437,1985,100,2007,77.2,22
437,2007,77.2,2009,71.4,2
437,2009,71.4,2011,65.8,2
437,2013,67.1,2015,66.6,2
437,2015,66.6,2017,66.6,2
438,1957,100,2007,80.9,50
438,2007,80.9,2009,77.2,2
438,2009,77.2,2011,72.9,2
438,2013,74.2,2015,74,2
439,1972,100,2007,79.8,35
439,2007,79.8,2009,73.5,2
439,2009,73.5,2011,68.6,2
439,2015,71.1,2017,71.1,2
440,1966,100,2007,76.3,41
440,2007,76.3,2009,73.3,2
440,2009,73.3,2011,71.2,2
440,2013,71.7,2015,71.4,2
440,2015,71.4,2016,70.9,1
440,2016,70.9,2017,70.9,1
441,1964,100,2007,75.9,43
441,2007,75.9,2009,74.6,2
441,2009,74.6,2011,70.3,2
442,1958,100,2007,75,49
442,2007,75,2011,68.1,4
442,2011,68.1,2015,67.9,4
443,1960,100,2006,71.4,46
443,2006,71.4,2010,66.8,4
443,2010,66.8,2014,64.3,4
444,1960,100,2006,57.1,46
444,2006,57.1,2009,57.1,3
444,2009,57.1,2010,55.8,1
444,2010,55.8,2011,54.7,1
444,2013,56.9,2015,56.9,2
444,2015,56.9,2017,56.9,2
445,1980,100,2001,75,21
445,2001,75,2005,75,4
445,2005,75,2007,72.4,2
445,2007,72.4,2009,69.2,2
445,2009,69.2,2011,65.9,2
445,2013,68,2015,66.2,2
446,1972,100,2001,74.9,29
446,2001,74.9,2005,73.8,4
446,2005,73.8,2007,72.7,2
446,2009,73.6,2011,71.2,2
446,2013,72.1,2015,71.6,2
447,1971,100,2014,69.8,43
448,1971,100,2014,69.5,43
449,1964,100,2001,99.4,37
449,2001,99.4,2005,70.4,4
449,2005,70.4,2006,68.7,1
449,2008,70,2010,68.1,2
449,2010,68.1,2012,68,2
449,2012,68,2014,55.2,2
450,1975,100,2007,75.2,32
450,2007,75.2,2009,75,2
450,2009,75,2011,71.1,2
450,2013,73.2,2015,72.4,2
451,1980,100,2007,71.2,27
451,2009,73.8,2011,73.3,2
451,2011,73.3,2013,71.9,2
451,2013,71.9,2015,70.7,2
452,1979,100,2007,84.7,28
452,2007,84.7,2009,73.1,2
452,2009,73.1,2011,71.7,2
452,2013,74,2015,73.1,2
453,2007,74.2,2009,73.9,2
453,2009,73.9,2011,73.9,2
453,2013,98.3,2015,96.4,2
453,2015,96.4,2017,96,2
454,2007,73.9,2009,73.8,2
454,2009,73.8,2011,73.8,2
454,2013,97.7,2015,96.9,2
454,2015,96.9,2017,96.2,2
455,2007,82,2011,82,4
456,2007,74.1,2009,74,2
456,2009,74,2011,74,2
456,2013,98.9,2015,97.3,2
456,2015,97.3,2017,95.9,2
457,1975,100,2007,76.3,32
457,2007,76.3,2009,73.3,2
457,2009,73.3,2011,72.6,2
457,2013,73.2,2015,73.1,2
457,2015,73.1,2017,72.7,2
458,1995,100,2007,86.9,12
458,2007,86.9,2009,86.7,2
458,2009,86.7,2011,84,2
458,2013,97.8,2015,79.6,2
458,2015,79.6,2017,79.2,2
459,1995,100,2007,85.2,12
459,2007,85.2,2009,85.1,2
459,2009,85.1,2011,82.2,2
459,2013,98.8,2015,88.4,2
459,2015,88.4,2017,84.2,2
460,1973,100,2007,77.7,34
460,2007,77.7,2009,77.5,2
460,2009,77.5,2011,71.3,2
460,2013,73.2,2015,73.1,2
460,2015,73.1,2017,73,2
461,1973,100,2007,75.6,34
461,2007,75.6,2009,75.2,2
461,2009,75.2,2011,73.3,2
461,2011,73.3,2013,73,2
461,2015,74.2,2017,73.6,2
462,1973,100,2007,76.4,34
462,2007,76.4,2009,76.3,2
462,2009,76.3,2011,75.4,2
462,2011,75.4,2013,73.6,2
462,2015,73.8,2017,73.4,2
463,1975,100,2007,83,32
463,2007,83,2009,81.2,2
463,2009,81.2,2011,74.9,2
463,2015,78.9,2017,77.6,2
464,1958,100,2007,75.5,49
464,2007,75.5,2009,70.6,2
464,2009,70.6,2011,67.1,2
464,2013,69.9,2015,69.4,2
464,2015,69.4,2017,69.4,2
465,1961,100,2007,77.4,46
465,2007,77.4,2009,73.2,2
465,2009,73.2,2011,71.8,2
465,2013,73.2,2015,72.9,2
466,1958,100,2007,76.3,49
466,2007,76.3,2009,73.5,2
466,2009,73.5,2011,69.9,2
466,2013,71.5,2015,71.1,2
466,2015,71.1,2017,71.1,2
467,1975,100,2006,68.2,31
467,2010,71.8,2012,71.7,2
467,2012,71.7,2014,71,2
468,2005,100,2015,95.9,10
468,2015,95.9,2017,93.2,2
469,2005,100,2015,94.6,10
469,2015,94.6,2017,92,2
470,2005,100,2015,95.2,10
470,2015,95.2,2017,93.1,2
471,2007,92.7,2011,92.7,4
472,1995,100,2007,74.6,12
472,2007,74.6,2009,74.5,2
472,2009,74.5,2011,73.8,2
472,2013,74,2015,73.9,2
472,2015,73.9,2017,73.5,2
473,2016,100,2017,99.5,1
474,2003,61.9,2005,60.6,2
474,2007,100,2009,100,2
474,2009,100,2011,99.8,2
474,2011,99.8,2013,99.7,2
474,2013,99.7,2015,99.6,2
474,2015,99.6,2017,99.6,2
475,2003,62.5,2005,56.2,2
475,2007,100,2009,99.9,2
475,2009,99.9,2011,99.7,2
475,2011,99.7,2013,99.5,2
475,2013,99.5,2015,99.4,2
475,2015,99.4,2017,99.4,2
476,1957,100,2001,67.6,44
476,2005,75,2007,72.7,2
476,2007,72.7,2009,72.7,2
476,2009,72.7,2011,72.2,2
476,2011,72.2,2013,70.8,2
476,2013,70.8,2015,69.8,2
476,2015,69.8,2017,69.7,2
477,1983,100,2003,81.7,20
477,2003,81.7,2005,72.6,2
477,2005,72.6,2007,72,2
477,2007,72,2009,71.8,2
477,2011,73.3,2013,72.9,2
477,2013,72.9,2015,71.4,2
478,1986,100,2001,67.9,15
478,2003,73.4,2005,73,2
478,2005,73,2007,72.9,2
478,2007,72.9,2009,71.8,2
478,2011,72.5,2013,71.5,2
478,2013,71.5,2015,69.9,2
478,2015,69.9,2017,69.7,2
479,1986,100,2001,67.8,15
479,2003,75,2005,74.8,2
479,2005,74.8,2007,74.3,2
479,2007,74.3,2009,73.7,2
479,2009,73.7,2011,73.6,2
479,2011,73.6,2013,73.6,2
479,2013,73.6,2015,72.5,2
479,2015,72.5,2017,72.5,2
480,1987,100,2001,67.8,14
480,2003,75,2005,74.1,2
480,2005,74.1,2007,73.8,2
480,2007,73.8,2009,73.6,2
480,2011,74.1,2013,73.8,2
480,2013,73.8,2015,73,2
480,2015,73,2017,71.3,2
481,1987,100,2001,67.9,14
481,2003,75,2005,74.1,2
481,2005,74.1,2007,73.8,2
481,2007,73.8,2009,73.6,2
481,2011,74.1,2013,73.8,2
481,2013,73.8,2015,73.5,2
481,2015,73.5,2017,72.6,2
482,1987,100,2001,71.9,14
482,2003,75,2005,74.8,2
482,2005,74.8,2007,74.3,2
482,2007,74.3,2009,74.2,2
482,2011,74.6,2013,74.2,2
482,2013,74.2,2015,73.5,2
483,1976,100,2001,68,25
483,2003,75,2005,74.3,2
483,2005,74.3,2007,73.9,2
483,2007,73.9,2009,73.1,2
483,2009,73.1,2011,72.3,2
483,2011,72.3,2013,72.1,2
483,2013,72.1,2015,72,2
483,2015,72,2017,71.5,2
484,1976,100,2001,54.2,25
484,2009,78.4,2011,76.9,2
484,2011,76.9,2013,75.3,2
484,2013,75.3,2015,73.3,2
484,2015,73.3,2017,72.9,2
485,1976,100,2001,68,25
485,2003,75,2005,74.6,2
485,2005,74.6,2007,73.8,2
485,2007,73.8,2009,72.8,2
485,2009,72.8,2011,72.2,2
485,2011,72.2,2013,71.6,2
485,2013,71.6,2015,70.9,2
485,2015,70.9,2017,70.8,2
486,1954,100,2001,68,47
486,2003,72.8,2005,68,2
486,2005,68,2007,67.2,2
486,2011,70.7,2013,70.1,2
486,2013,70.1,2015,69.6,2
487,1976,100,2001,68,25
487,2003,75,2005,74.9,2
487,2005,74.9,2007,74.9,2
487,2007,74.9,2011,68.8,4
487,2011,68.8,2013,68.4,2
487,2013,68.4,2015,67.5,2
487,2015,67.5,2017,67.2,2
488,1959,100,2001,68,42
488,2003,75,2005,75,2
488,2005,75,2007,75,2
488,2007,75,2009,71.1,2
488,2011,71.5,2013,71.5,2
488,2013,71.5,2015,71.1,2
488,2015,71.1,2017,70.8,2
489,1993,100,2005,86.9,12
489,2005,86.9,2007,86,2
489,2011,87.9,2013,84.3,2
489,2013,84.3,2015,84.1,2
489,2015,84.1,2017,83.9,2
490,1993,100,2003,75,10
490,2005,85.6,2007,84.8,2
490,2011,87.9,2013,84,2
490,2013,84,2015,83.9,2
490,2015,83.9,2017,83.8,2
491,2009,100,2010,99.9,1
491,2010,99.9,2012,99.6,2
491,2012,99.6,2014,99.3,2
491,2014,99.3,2016,97.5,2
492,1964,100,2000,75,36
492,2000,75,2003,72.1,3
492,2003,72.1,2006,72.1,3
492,2010,73.7,2012,73.7,2
492,2012,73.7,2014,73.6,2
492,2014,73.6,2016,73.3,2
493,1958,100,2000,67.9,42
493,2003,71.9,2006,71.8,3
493,2008,73.1,2010,73.1,2
493,2010,73.1,2012,72.7,2
493,2012,72.7,2014,72.6,2
493,2014,72.6,2016,72.4,2
494,1961,100,2003,74.8,42
494,2003,74.8,2004,74.7,1
494,2004,74.7,2006,74.7,2
494,2006,74.7,2008,74.4,2
494,2012,78.5,2014,78.4,2
494,2014,78.4,2016,78.3,2
495,1958,100,2002,75,44
495,2002,75,2003,72,1
495,2003,72,2006,72,3
495,2008,73.7,2010,73.6,2
495,2010,73.6,2012,73.4,2
495,2012,73.4,2014,73.3,2
495,2014,73.3,2016,73,2
496,1957,100,2006,74.9,49
496,2006,74.9,2008,74.6,2
496,2008,74.6,2010,74.4,2
496,2010,74.4,2012,74.3,2
496,2012,74.3,2014,74,2
496,2014,74,2016,73.9,2
497,2001,100,2009,75,8
497,2009,75,2011,74.9,2
497,2011,74.9,2013,74.9,2
497,2013,74.9,2015,74.7,2
497,2015,74.7,2017,74.7,2
498,1979,100,2002,76.6,23
498,2002,76.6,2003,73.5,1
498,2003,73.5,2006,73.5,3
498,2008,74.2,2010,74,2
498,2010,74,2012,73.9,2
498,2012,73.9,2014,73.9,2
498,2014,73.9,2016,73.3,2
499,1993,100,2005,75.3,12
499,2005,75.3,2006,75,1
499,2008,96.7,2010,75,2
499,2010,75,2012,74.7,2
499,2014,75.2,2016,74.8,2
500,1993,100,2006,75,13
500,2008,97,2010,74.7,2
500,2010,74.7,2012,74.6,2
500,2014,75.2,2016,74.8,2
501,1976,100,2006,74.4,30
501,2006,74.4,2008,73.8,2
501,2008,73.8,2010,73.6,2
501,2010,73.6,2012,72.8,2
501,2012,72.8,2014,71.9,2
501,2014,71.9,2016,70.7,2
502,1976,100,2006,74.4,30
502,2006,74.4,2008,74.1,2
502,2008,74.1,2010,73.3,2
502,2010,73.3,2012,72.4,2
502,2012,72.4,2014,70.3,2
502,2014,70.3,2016,69.8,2
503,1987,100,2007,93,20
503,2007,93,2011,92.2,4
503,2011,92.2,2014,91.9,3
504,1987,100,2006,74.8,19
504,2006,74.8,2008,74.3,2
