lable,Sample ID,Inspection Time of Prestate,Inspection Time of PostState IRI,Pre-State IRI,Post-State IRI,Inspection Post time for Sneff,Sneff ,,,Construction year,Functional inspection year,Structural inspection year,Number of samples,&,,,,,,,,
1,45,2009,2021,1,1.824299276,2017,2.532982667,2009&2021&2017,,,,8.5,8.5,7,,3.4,3.4,30,,4.4,4.4,54
1,46,2009,2021,1,2.394567002,2017,2.920542685,2009&2021&2017,,,,8.75,8.75,3,,3.5,3.5,36,,4.5,4.5,64
1,47,2009,2021,1,2.001300412,2017,3.217160725,2009&2021&2017,,,,9,9,8,,3.6,3.6,25,,4.6,4.6,47
1,48,2009,2021,1,2.793515544,2017,3.084541713,2009&2021&2017,,,,9.25,9.25,3,,3.7,3.7,26,,4.7,4.7,43
1,49,2009,2021,1,2.91649236,2017,2.949178791,2009&2021&2017,,,,9.5,9.5,4,,3.8,3.8,29,,4.8,4.8,35
1,50,2009,2021,1,2.120574734,2017,3.811173687,2009&2021&2017,,,,9.75,9.75,7,,3.9,3.9,32,,4.9,4.9,21
1,51,2009,2021,1,1.822566873,2017,3.10833462,2009&2021&2017,,,,10,10,4,,4,4,24,,5,5,22
1,52,2009,2021,1,1.839749259,2017,3.190249102,2009&2021&2017,,,,10.25,10.25,5,,4.1,4.1,17,,5.1,5.1,16
1,53,2009,2021,1,3.390148928,2017,3.159880097,2009&2021&2017,,,,10.5,10.5,4,,4.2,4.2,29,,5.2,5.2,15
1,54,2009,2021,1,6.393182531,2017,3.078637809,2009&2021&2017,,,,10.75,10.75,1,,4.3,4.3,31,,5.3,5.3,12
1,55,2009,2021,1,14.80485141,2017,3.484823458,2009&2021&2017,,,,11,11,0,,4.4,4.4,22,,5.4,5.4,9
1,56,2009,2021,1,1.65547306,2017,2.575277528,2009&2021&2017,,,,11.25,11.25,4,,4.5,4.5,30,,5.5,5.5,4
1,57,2009,2021,1,1.542478733,2017,3.304541821,2009&2021&2017,,,,11.5,11.5,4,,4.6,4.6,30,,5.6,5.6,6
1,58,2009,2021,1,1.633513403,2017,3.945613203,2009&2021&2017,,,,11.75,11.75,1,,4.7,4.7,20,,5.7,5.7,9
1,59,2009,2021,1,1.2936299,2017,3.830431638,2009&2021&2017,,,,12,12,2,,4.8,4.8,25,,5.8,5.8,5
1,60,2009,2021,1,1.223693168,2017,2.358979725,2009&2021&2017,,,,12.25,12.25,0,,4.9,4.9,17,,5.9,5.9,4
1,61,2009,2021,1,2.645010291,2017,2.841035842,2009&2021&2017,,,,12.5,12.5,2,,5,5,23,,6,6,5
1,62,2009,2021,1,19.47544118,2017,3.462335162,2009&2021&2017,,,,12.75,12.75,0,,5.1,5.1,8,,6.1,6.1,1
1,63,2009,2021,1,3.656420029,2017,3.551399005,2009&2021&2017,,,,13,13,1,,5.2,5.2,24,,6.2,6.2,3
1,64,2009,2021,1,1.498301269,2017,3.250190394,2009&2021&2017,,,,13.25,13.25,0,,5.3,5.3,13,,6.3,6.3,0
1,65,2009,2021,1,1.832201141,2017,3.859174432,2009&2021&2017,,,,13.5,13.5,0,,5.4,5.4,18,,6.4,6.4,2
1,66,2009,2021,1,1.523218893,2017,3.895374746,2009&2021&2017,,,,13.75,13.75,1,,5.5,5.5,12,,6.5,6.5,1
1,67,2009,2021,1,1.421747819,2017,4.22721068,2009&2021&2017,,,,14,14,0,,5.6,5.6,8,,6.6,6.6,0
1,68,2009,2021,1,1.662813977,2017,3.756334661,2009&2021&2017,,,,14.25,14.25,2,,5.7,5.7,11,,6.7,6.7,1
1,69,2009,2021,1,1.458539083,2017,3.203223204,2009&2021&2017,,,,14.5,14.5,2,,5.8,5.8,12,,6.8,6.8,0
1,70,2009,2021,1,1.470765274,2017,3.717187395,2009&2021&2017,,,,14.75,14.75,0,,5.9,5.9,9,,6.9,6.9,0
1,71,2009,2021,1,1.454911454,2017,3.380223689,2009&2021&2017,,,,15,15,1,,6,6,3,,7,7,1
