経過年数,建設時健全度（1と仮定）,調査時健全度,定数項（x1＝1）,管径,管渠延長,スパンID,調査年,建設年,材質番号（1 ヒューム管）
40,1,3,1,0.151515152,0.199428571,15965006,2010,1970,1
20,1,1,1,0.151515152,0.161666667,15965010,2010,1990,1
27,1,3,1,0.151515152,0.127190476,15965013,2010,1983,1
40,1,4,1,0.151515152,0.227428571,15965017,2010,1970,1
23,1,1,1,0.151515152,0.147190476,15965028,2010,1987,1
23,1,1,1,0.151515152,0.208761905,15966009,2010,1987,1
37,1,4,1,0.151515152,0.14652381,15967009,2010,1973,1
37,1,1,1,0.151515152,0.099428571,15967020,2010,1973,1
29,1,1,1,0.121212121,0.114,15967027,2018,1989,1
51,1,4,1,0.151515152,0.237952381,15967030,2018,1967,1
35,1,3,1,0.151515152,0.064761905,15967026,2010,1975,1
37,1,2,1,0.151515152,0.134142857,15968012,2010,1973,1
20,1,1,1,0.151515152,0.123333333,15968023,2010,1990,1
37,1,3,1,0.151515152,0.114047619,15968062,2010,1973,1
31,1,1,1,0.272727273,0.20252381,15970011,2010,1979,1
18,1,2,1,0.151515152,0.037952381,15970016,2010,1992,1
36,1,2,1,0.151515152,0.145238095,15973004,2010,1974,1
36,1,2,1,0.151515152,0.136190476,15973022,2010,1974,1
36,1,2,1,0.151515152,0.125714286,15973033,2010,1974,1
36,1,3,1,0.151515152,0.118333333,15973045,2010,1974,1
36,1,3,1,0.151515152,0.10952381,15973057,2010,1974,1
36,1,3,1,0.151515152,0.15,15973080,2010,1974,1
36,1,2,1,0.151515152,0.15952381,15973012,2010,1974,1
36,1,1,1,0.151515152,0.138095238,15973069,2010,1974,1
36,1,2,1,0.151515152,0.166666667,15974016,2010,1974,1
36,1,3,1,0.151515152,0.126190476,15974039,2010,1974,1
36,1,3,1,0.151515152,0.142857143,15974051,2010,1974,1
36,1,3,1,0.151515152,0.043571429,15974063,2010,1974,1
36,1,1,1,0.151515152,0.092857143,15974075,2010,1974,1
36,1,4,1,0.151515152,0.047619048,15974087,2010,1974,1
36,1,2,1,0.151515152,0.161904762,15974099,2010,1974,1
27,1,1,1,0.151515152,0.165904762,15974135,2010,1983,1
28,1,3,1,0.363636364,0.222,15975001,2010,1982,1
27,1,3,1,0.151515152,0.189619048,15975004,2010,1983,1
26,1,2,1,0.151515152,0.171095238,15975016,2010,1984,1
26,1,1,1,0.151515152,0.174809524,15975022,2010,1984,1
26,1,1,1,0.151515152,0.085,15975026,2010,1984,1
28,1,3,1,0.363636364,0.221,15975036,2010,1982,1
28,1,4,1,0.363636364,0.188047619,15975049,2010,1982,1
26,1,2,1,0.151515152,0.149285714,15975058,2010,1984,1
27,1,2,1,0.151515152,0.185095238,15975073,2010,1983,1
31,1,3,1,0.151515152,0.12547619,15976014,2010,1979,1
28,1,3,1,0.363636364,0.18647619,15976020,2010,1982,1
27,1,1,1,0.151515152,0.220428571,15977005,2010,1983,1
24,1,1,1,0.151515152,0.237857143,15977010,2011,1987,1
24,1,3,1,0.151515152,0.237571429,15978008,2011,1987,1
21,1,1,1,0.484848485,0.167952381,15979032,2010,1989,1
31,1,2,1,0.151515152,0.123952381,15979047,2010,1979,1
26,1,2,1,0.151515152,0.046190476,15980012,2010,1984,1
26,1,1,1,0.151515152,0.07047619,15980025,2010,1984,1
28,1,1,1,0.303030303,0.184047619,15982003,2010,1982,1
36,1,3,1,0.151515152,0.14047619,15983006,2010,1974,1
36,1,3,1,0.151515152,0.17952381,15983017,2010,1974,1
36,1,3,1,0.151515152,0.097619048,15983027,2010,1974,1
20,1,2,1,0.151515152,0.142857143,15983043,2010,1990,1
20,1,1,1,0.151515152,0.156428571,15983093,2010,1990,1
36,1,3,1,0.151515152,0.129047619,15984011,2010,1974,1
36,1,3,1,0.151515152,0.09047619,15984020,2010,1974,1
37,1,3,1,0.181818182,0.072142857,15984032,2011,1974,1
36,1,2,1,0.151515152,0.16,15984057,2010,1974,1
36,1,3,1,0.151515152,0.1,15984068,2010,1974,1
27,1,2,1,0.151515152,0.150857143,15984080,2010,1983,1
27,1,1,1,0.151515152,0.104238095,15984092,2010,1983,1
29,1,2,1,0.151515152,0.308380952,15984101,2010,1981,1
25,1,1,1,0.151515152,0.201904762,15984131,2010,1985,1
27,1,3,1,0.151515152,0.156238095,15985011,2010,1983,1
31,1,4,1,0.151515152,0.104857143,15985032,2010,1979,1
31,1,3,1,0.151515152,0.123904762,15985039,2010,1979,1
31,1,4,1,0.151515152,0.043285714,15985051,2010,1979,1
25,1,2,1,0.151515152,0.144428571,15985064,2010,1985,1
25,1,3,1,0.151515152,0.197428571,15985077,2010,1985,1
26,1,1,1,0.151515152,0.241380952,15986014,2010,1984,1
26,1,1,1,0.151515152,0.161047619,15986032,2010,1984,1
26,1,2,1,0.151515152,0.184857143,15986040,2010,1984,1
26,1,2,1,0.151515152,0.224952381,15986051,2010,1984,1
28,1,3,1,0.363636364,0.229761905,15987002,2010,1982,1
28,1,3,1,0.363636364,0.195190476,15987015,2010,1982,1
26,1,1,1,0.151515152,0.227952381,15987033,2010,1984,1
27,1,2,1,0.151515152,0.142047619,15987046,2010,1983,1
29,1,1,1,0.363636364,0.14852381,15988006,2010,1981,1
25,1,3,1,0.151515152,0.209190476,15988012,2010,1985,1
25,1,2,1,0.151515152,0.189571429,15988021,2010,1985,1
29,1,1,1,0.363636364,0.131857143,15988033,2010,1981,1
26,1,2,1,0.151515152,0.037619048,15988047,2010,1984,1
26,1,1,1,0.151515152,0.123333333,15988074,2010,1984,1
27,1,1,1,0.151515152,0.123238095,15988086,2010,1983,1
27,1,2,1,0.151515152,0.084761905,15989009,2010,1983,1
24,1,2,1,0.151515152,0.068571429,15989034,2010,1986,1
22,1,1,1,0.151515152,0.070571429,15989051,2010,1988,1
24,1,1,1,0.151515152,0.206285714,15993007,2010,1986,1
29,1,1,1,0.363636364,0.363,15993030,2010,1981,1
30,1,3,1,0.181818182,0.074047619,15993037,2011,1981,1
31,1,3,1,0.151515152,0.119,15993049,2010,1979,1
20,1,1,1,0.151515152,0.085285714,15993068,2010,1990,1
25,1,1,1,0.151515152,0.246571429,15994033,2010,1985,1
25,1,2,1,0.151515152,0.102095238,15998006,2011,1986,1
24,1,2,1,0.151515152,0.127666667,15998024,2010,1986,1
33,1,4,1,0.151515152,0.119142857,15998037,2010,1977,1
31,1,3,1,0.151515152,0.099904762,15998050,2010,1979,1
29,1,1,1,0.424242424,0.075619048,15999035,2010,1981,1
30,1,2,1,0.151515152,0.094333333,16902001,2010,1980,1
30,1,3,1,0.151515152,0.159333333,16902021,2010,1980,1
31,1,3,1,0.151515152,0.061809524,16902033,2011,1980,1
30,1,2,1,0.151515152,0.090904762,16902045,2010,1980,1
27,1,1,1,0.151515152,0.049380952,16902063,2010,1983,1
31,1,2,1,0.151515152,0.124238095,16909006,2010,1979,1
29,1,1,1,0.424242424,0.225238095,16909014,2010,1981,1
29,1,1,1,0.424242424,0.05747619,16909026,2010,1981,1
24,1,2,1,0.151515152,0.202142857,16909042,2010,1986,1
30,1,3,1,0.151515152,0.057809524,16912016,2010,1980,1
21,1,3,1,0.151515152,0.039571429,16914005,2011,1990,1
27,1,1,1,0.151515152,0.238095238,20065001,2013,1986,1
27,1,2,1,0.151515152,0.214285714,20065005,2013,1986,1
40,1,3,1,0.151515152,0.202380952,20066001,2013,1973,1
42,1,2,1,0.151515152,0.109761905,20066008,2013,1971,1
41,1,3,1,0.151515152,0.115952381,20066022,2014,1973,1
41,1,3,1,0.151515152,0.188809524,20066048,2014,1973,1
43,1,4,1,0.151515152,0.19547619,20067001,2014,1971,1
41,1,2,1,0.151515152,0.197380952,20067013,2014,1973,1
41,1,3,1,0.151515152,0.142380952,20067029,2014,1973,1
43,1,2,1,0.151515152,0.14452381,20068001,2014,1971,1
31,1,1,1,0.151515152,0.2,20075001,2013,1982,1
43,1,4,1,0.151515152,0.194285714,20076013,2014,1971,1
43,1,3,1,0.151515152,0.119761905,20076077,2014,1971,1
43,1,4,1,0.151515152,0.211428571,20076088,2014,1971,1
43,1,2,1,0.151515152,0.143333333,20077045,2014,1971,1
43,1,4,1,0.151515152,0.118333333,20077054,2014,1971,1
43,1,3,1,0.151515152,0.143333333,20077088,2014,1971,1
43,1,2,1,0.151515152,0.139047619,20077098,2014,1971,1
43,1,2,1,0.151515152,0.205,20078021,2014,1971,1
43,1,2,1,0.151515152,0.141904762,20078026,2014,1971,1
23,1,2,1,0.151515152,0.238095238,20082010,2013,1990,1
23,1,2,1,0.151515152,0.174285714,20083012,2013,1990,1
31,1,2,1,0.181818182,0.238095238,20084012,2013,1982,1
32,1,2,1,0.272727273,0.20952381,20085012,2014,1982,1
32,1,1,1,0.484848485,0.355,20086004,2014,1982,1
47,1,1,1,0.151515152,0.167619048,20087014,2018,1971,1
47,1,1,1,0.151515152,0.146190476,20087015,2018,1971,1
43,1,4,1,0.151515152,0.195952381,20087017,2014,1971,1
43,1,3,1,0.151515152,0.142619048,20087039,2014,1971,1
43,1,3,1,0.151515152,0.143333333,20087051,2014,1971,1
31,1,2,1,0.151515152,0.235714286,20095002,2013,1982,1
32,1,2,1,0.151515152,0.216666667,20096014,2014,1982,1
17,1,1,1,0.484848485,0.354142857,20096022,2014,1997,1
42,1,3,1,0.151515152,0.116190476,20098018,2014,1972,1
42,1,4,1,0.151515152,0.17047619,20098020,2014,1972,1
42,1,3,1,0.151515152,0.133095238,20098031,2014,1972,1
32,1,2,1,0.151515152,0.238095238,21006006,2014,1982,1
18,1,2,1,0.545454545,0.905714286,21006019,2014,1996,1
35,1,2,1,0.151515152,0.10952381,21007016,2014,1979,1
35,1,3,1,0.151515152,0.144285714,21007026,2014,1979,1
35,1,1,1,0.151515152,0.210952381,21020001,2013,1978,1
19,1,1,1,0.212121212,0.157714286,21020021,2013,1994,1
41,1,3,1,0.121212121,0.22,21022006,2013,1972,1
41,1,3,1,0.121212121,0.173333333,21023009,2013,1972,1
41,1,3,1,0.121212121,0.128571429,21023018,2013,1972,1
28,1,2,1,0.151515152,0.194285714,21023038,2013,1985,1
28,1,2,1,0.151515152,0.132380952,21023050,2013,1985,1
28,1,2,1,0.151515152,0.207142857,21024014,2013,1985,1
30,1,1,1,0.151515152,0.227619048,21024015,2013,1983,1
30,1,1,1,0.151515152,0.111904762,21024020,2013,1983,1
30,1,1,1,0.151515152,0.172857143,21024032,2013,1983,1
33,1,2,1,0.151515152,0.204761905,21025025,2013,1980,1
33,1,2,1,0.151515152,0.20952381,21025037,2013,1980,1
24,1,3,1,0.151515152,0.146952381,21026003,2014,1990,1
21,1,1,1,0.151515152,0.228,21027005,2014,1993,1
21,1,2,1,0.151515152,0.156809524,21027019,2014,1993,1
42,1,2,1,0.121212121,0.203809524,21031023,2014,1972,1
41,1,4,1,0.121212121,0.23952381,21031026,2013,1972,1
41,1,2,1,0.121212121,0.235238095,21032011,2013,1972,1
41,1,2,1,0.121212121,0.239047619,21032024,2013,1972,1
41,1,3,1,0.121212121,0.143333333,21032031,2013,1972,1
41,1,4,1,0.121212121,0.142857143,21033011,2013,1972,1
41,1,4,1,0.121212121,0.20952381,21033032,2013,1972,1
30,1,3,1,0.151515152,0.10952381,21033052,2013,1983,1
30,1,1,1,0.151515152,0.206666667,21033061,2013,1983,1
28,1,1,1,0.151515152,0.194285714,21033085,2013,1985,1
28,1,2,1,0.151515152,0.193809524,21034007,2013,1985,1
28,1,4,1,0.151515152,0.169047619,21034019,2013,1985,1
28,1,2,1,0.151515152,0.169047619,21034033,2013,1985,1
29,1,2,1,0.151515152,0.224285714,21034046,2013,1984,1
28,1,2,1,0.151515152,0.227619048,21034062,2013,1985,1
30,1,1,1,0.151515152,0.214285714,21035007,2013,1983,1
30,1,1,1,0.151515152,0.175238095,21035035,2013,1983,1
23,1,2,1,0.151515152,0.121285714,21036005,2013,1990,1
24,1,2,1,0.151515152,0.180333333,21036013,2014,1990,1
24,1,2,1,0.151515152,0.175190476,21036024,2014,1990,1
24,1,1,1,0.151515152,0.132857143,21036035,2014,1990,1
24,1,1,1,0.151515152,0.161238095,21036046,2014,1990,1
23,1,1,1,0.242424242,0.174285714,21037002,2014,1991,1
23,1,2,1,0.151515152,0.128095238,21037032,2014,1991,1
21,1,2,1,0.151515152,0.232952381,21037079,2014,1993,1
46,1,4,1,0.121212121,0.162142857,21038016,2014,1968,1
35,1,2,1,0.151515152,0.163809524,21040031,2013,1978,1
35,1,2,1,0.151515152,0.165238095,21040055,2013,1978,1
35,1,2,1,0.181818182,0.209047619,21040079,2013,1978,1
35,1,1,1,0.151515152,0.228095238,21040083,2013,1978,1
35,1,1,1,0.151515152,0.22047619,21041007,2013,1978,1
41,1,2,1,0.121212121,0.1,21041035,2013,1972,1
41,1,3,1,0.121212121,0.214285714,21041050,2013,1972,1
41,1,2,1,0.121212121,0.063333333,21042005,2013,1972,1
41,1,3,1,0.121212121,0.14047619,21043031,2013,1972,1
30,1,1,1,0.151515152,0.238095238,21044029,2013,1983,1
29,1,1,1,0.151515152,0.22047619,21044034,2013,1984,1
29,1,1,1,0.151515152,0.174761905,21045005,2013,1984,1
21,1,1,1,0.151515152,0.224761905,21045031,2013,1992,1
30,1,3,1,0.151515152,0.223809524,21045043,2013,1983,1
23,1,1,1,0.151515152,0.161142857,21046003,2013,1990,1
24,1,1,1,0.212121212,0.13752381,21046030,2014,1990,1
24,1,3,1,0.151515152,0.204285714,21046054,2014,1990,1
21,1,2,1,0.151515152,0.238,21047008,2014,1993,1
21,1,2,1,0.212121212,0.247428571,21047013,2014,1993,1
49,1,3,1,0.121212121,0.238095238,21047042,2017,1968,1
49,1,4,1,0.121212121,0.190714286,21047062,2017,1968,1
46,1,3,1,0.121212121,0.161904762,21048011,2014,1968,1
46,1,3,1,0.121212121,0.202619048,21048022,2014,1968,1
49,1,3,1,0.121212121,0.19047619,21048064,2017,1968,1
49,1,4,1,0.121212121,0.214285714,21049008,2017,1968,1
46,1,4,1,0.121212121,0.147619048,21049019,2014,1968,1
46,1,1,1,0.121212121,0.218809524,21049035,2014,1968,1
46,1,4,1,0.121212121,0.172142857,21049047,2014,1968,1
46,1,3,1,0.121212121,0.174761905,21049061,2014,1968,1
46,1,3,1,0.121212121,0.152857143,21049071,2014,1968,1
35,1,3,1,0.151515152,0.160952381,21050009,2013,1978,1
35,1,2,1,0.151515152,0.238571429,21050033,2013,1978,1
35,1,2,1,0.151515152,0.235714286,21050052,2013,1978,1
35,1,1,1,0.151515152,0.177142857,21050064,2013,1978,1
35,1,2,1,0.151515152,0.232380952,21050076,2013,1978,1
35,1,2,1,0.151515152,0.234285714,21051020,2013,1978,1
41,1,2,1,0.121212121,0.174761905,21051049,2013,1972,1
41,1,4,1,0.121212121,0.19047619,21051073,2013,1972,1
41,1,3,1,0.121212121,0.24,21052022,2013,1972,1
41,1,2,1,0.121212121,0.204285714,21052035,2013,1972,1
41,1,3,1,0.121212121,0.19047619,21052048,2013,1972,1
41,1,3,1,0.121212121,0.191428571,21052060,2013,1972,1
41,1,3,1,0.121212121,0.18952381,21052064,2013,1972,1
41,1,2,1,0.121212121,0.078571429,21053030,2013,1972,1
41,1,3,1,0.121212121,0.236666667,21053043,2013,1972,1
29,1,3,1,0.151515152,0.221904762,21054021,2013,1984,1
29,1,1,1,0.151515152,0.178095238,21054053,2013,1984,1
29,1,1,1,0.151515152,0.2,21054065,2013,1984,1
21,1,1,1,0.151515152,0.133333333,21055036,2013,1992,1
24,1,2,1,0.151515152,0.132857143,21055060,2013,1989,1
22,1,2,1,0.151515152,0.142857143,21057005,2014,1992,1
46,1,3,1,0.121212121,0.142619048,21057029,2014,1968,1
46,1,3,1,0.121212121,0.142619048,21057051,2014,1968,1
46,1,4,1,0.121212121,0.242857143,21058024,2014,1968,1
46,1,4,1,0.121212121,0.238333333,21058047,2014,1968,1
46,1,4,1,0.121212121,0.15547619,21058055,2014,1968,1
46,1,3,1,0.121212121,0.170952381,21058083,2014,1968,1
46,1,4,1,0.121212121,0.247619048,21059020,2014,1968,1
46,1,4,1,0.121212121,0.219047619,21059028,2014,1968,1
46,1,4,1,0.121212121,0.217142857,21059037,2014,1968,1
46,1,3,1,0.121212121,0.105,21059047,2014,1968,1
46,1,3,1,0.121212121,0.219761905,21059057,2014,1968,1
46,1,3,1,0.121212121,0.190238095,21059067,2014,1968,1
46,1,4,1,0.121212121,0.183571429,21059071,2014,1968,1
41,1,3,1,0.121212121,0.191904762,21052061,2013,1972,1
41,1,2,1,0.121212121,0.085238095,21062015,2013,1972,1
34,1,2,1,0.484848485,0.218095238,21063001,2013,1979,1
41,1,3,1,0.121212121,0.214285714,21063055,2013,1972,1
29,1,3,1,0.484848485,0.219238095,21063067,2013,1984,1
29,1,1,1,0.484848485,0.395238095,21064013,2013,1984,1
30,1,1,1,0.151515152,0.18,21064017,2013,1983,1
29,1,1,1,0.151515152,0.196666667,21064022,2013,1984,1
32,1,1,1,0.484848485,0.337142857,21064042,2014,1982,1
24,1,2,1,0.151515152,0.158095238,21065025,2013,1989,1
22,1,2,1,0.303030303,0.355714286,21066002,2014,1992,1
20,1,1,1,0.151515152,0.227952381,21066014,2014,1994,1
22,1,4,1,0.151515152,0.147619048,21067007,2014,1992,1
46,1,3,1,0.121212121,0.238095238,21067028,2014,1968,1
46,1,4,1,0.121212121,0.217142857,21067042,2014,1968,1
24,1,2,1,0.151515152,0.142619048,21067055,2014,1990,1
46,1,4,1,0.121212121,0.23952381,21068015,2014,1968,1
46,1,3,1,0.121212121,0.248333333,21069009,2014,1968,1
46,1,4,1,0.121212121,0.018666667,21069040,2014,1968,1
28,1,1,1,0.484848485,0.085714286,21075006,2011,1983,1
19,1,1,1,0.303030303,0.145,21076009,2011,1992,1
19,1,1,1,0.151515152,0.096190476,21076020,2011,1992,1
19,1,1,1,0.303030303,0.295238095,21076032,2011,1992,1
43,1,3,1,0.121212121,0.206428571,21078009,2011,1968,1
28,1,3,1,0.151515152,0.235904762,21078049,2014,1986,1
46,1,4,1,0.121212121,0.175,21079017,2014,1968,1
28,1,1,1,0.606060606,0.339,21086002,2011,1983,1
25,1,4,1,0.121212121,0.071619048,21087026,2011,1986,1
28,1,1,1,0.151515152,0.201619048,21089016,2014,1986,1
26,1,2,1,0.151515152,0.142380952,21089043,2014,1988,1
25,1,4,1,0.151515152,0.139380952,21089054,2014,1989,1
28,1,2,1,0.151515152,0.095190476,21089062,2014,1986,1
14,1,3,1,0.666666667,0.857238095,21098002,2011,1997,1
27,1,1,1,0.151515152,0.236761905,21099021,2014,1987,1
28,1,2,1,0.151515152,0.21552381,21099028,2014,1986,1
28,1,2,1,0.151515152,0.167142857,21099030,2014,1986,1
25,1,2,1,0.151515152,0.156714286,21099056,2014,1989,1
27,1,2,1,0.151515152,0.236904762,21099064,2014,1987,1
28,1,2,1,0.484848485,0.505904762,21120001,2014,1986,1
29,1,2,1,0.484848485,0.526952381,21130023,2014,1985,1
46,1,4,1,0.121212121,0.183333333,21133070,2014,1968,1
46,1,4,1,0.121212121,0.312380952,21134014,2014,1968,1
46,1,3,1,0.121212121,0.15952381,21134017,2014,1968,1
46,1,2,1,0.151515152,0.160952381,21134035,2014,1968,1
39,1,3,1,0.151515152,0.219619048,21140013,2017,1978,1
36,1,3,1,0.151515152,0.101714286,21140022,2014,1978,1
46,1,4,1,0.151515152,0.27,21143006,2014,1968,1
46,1,3,1,0.121212121,0.258571429,21143008,2014,1968,1
46,1,4,1,0.121212121,0.177619048,21143011,2014,1968,1
46,1,4,1,0.121212121,0.178809524,21143052,2014,1968,1
46,1,3,1,0.151515152,0.179285714,21143054,2014,1968,1
46,1,4,1,0.121212121,0.175,21143065,2014,1968,1
46,1,4,1,0.121212121,0.366904762,21143090,2014,1968,1
46,1,4,1,0.121212121,0.311428571,21144010,2014,1968,1
46,1,4,1,0.242424242,0.229761905,21144019,2014,1968,1
46,1,3,1,0.121212121,0.252619048,21144023,2014,1968,1
46,1,4,1,0.121212121,0.311666667,21144029,2014,1968,1
46,1,3,1,0.121212121,0.173095238,21144057,2014,1968,1
28,1,3,1,0.181818182,0.221904762,21145027,2014,1986,1
28,1,4,1,0.121212121,0.251190476,21145039,2014,1986,1
28,1,4,1,0.121212121,0.107142857,21145051,2014,1986,1
28,1,4,1,0.121212121,0.13047619,21145075,2014,1986,1
46,1,4,1,0.121212121,0.161238095,21150001,2014,1968,1
46,1,3,1,0.121212121,0.224047619,21150002,2014,1968,1
46,1,4,1,0.121212121,0.212809524,21150026,2014,1968,1
46,1,4,1,0.121212121,0.247714286,21150059,2014,1968,1
46,1,3,1,0.121212121,0.243238095,21150060,2014,1968,1
49,1,4,1,0.151515152,0.231571429,21150061,2017,1968,1
49,1,4,1,0.121212121,0.191619048,21150068,2017,1968,1
28,1,2,1,0.484848485,0.433571429,21151027,2013,1985,1
46,1,3,1,0.242424242,0.184142857,21151033,2014,1968,1
45,1,3,1,0.484848485,0.204285714,21152010,2013,1968,1
46,1,3,1,0.121212121,0.335714286,21152013,2014,1968,1
46,1,4,1,0.151515152,0.14047619,21153003,2014,1968,1
46,1,4,1,0.151515152,0.26047619,21153006,2014,1968,1
46,1,4,1,0.121212121,0.229047619,21154032,2014,1968,1
46,1,3,1,0.121212121,0.183095238,21154061,2014,1968,1
46,1,2,1,0.121212121,0.129761905,21154079,2014,1968,1
46,1,4,1,0.121212121,0.236666667,21154090,2014,1968,1
46,1,4,1,0.121212121,0.13,21155060,2014,1968,1
27,1,2,1,0.151515152,0.101904762,21158003,2013,1986,1
46,1,4,1,0.121212121,0.224238095,21160039,2014,1968,1
46,1,3,1,0.121212121,0.225190476,21160042,2014,1968,1
46,1,4,1,0.121212121,0.215571429,21160060,2014,1968,1
46,1,4,1,0.121212121,0.231857143,21160066,2014,1968,1
46,1,3,1,0.121212121,0.219714286,21160068,2014,1968,1
46,1,4,1,0.121212121,0.20052381,21161028,2014,1968,1
46,1,3,1,0.121212121,0.252,21161077,2014,1968,1
49,1,4,1,0.121212121,0.203619048,21161081,2017,1968,1
27,1,1,1,0.484848485,0.213285714,21162057,2013,1986,1
50,1,4,1,0.121212121,0.211428571,21164016,2018,1968,1
50,1,4,1,0.121212121,0.221666667,21164017,2018,1968,1
46,1,4,1,0.121212121,0.304285714,21164022,2014,1968,1
27,1,1,1,0.151515152,0.05952381,21166019,2013,1986,1
27,1,1,1,0.151515152,0.095238095,21166030,2013,1986,1
27,1,2,1,0.151515152,0.133333333,21166038,2013,1986,1
29,1,3,1,0.151515152,0.126190476,21167043,2013,1984,1
27,1,3,1,0.151515152,0.142857143,21167064,2013,1986,1
27,1,1,1,0.151515152,0.133333333,21167079,2013,1986,1
29,1,2,1,0.151515152,0.128571429,21167083,2013,1984,1
27,1,1,1,0.151515152,0.138095238,21168001,2013,1986,1
27,1,1,1,0.151515152,0.123809524,21168006,2013,1986,1
27,1,2,1,0.151515152,0.126190476,21168027,2013,1986,1
27,1,2,1,0.151515152,0.135714286,21168039,2013,1986,1
46,1,3,1,0.121212121,0.22452381,21170030,2014,1968,1
46,1,3,1,0.151515152,0.19852381,21170043,2014,1968,1
46,1,2,1,0.121212121,0.170380952,21170057,2014,1968,1
49,1,4,1,0.121212121,0.214904762,21170069,2017,1968,1
46,1,3,1,0.121212121,0.218809524,21170071,2014,1968,1
46,1,3,1,0.121212121,0.21552381,21171010,2014,1968,1
49,1,3,1,0.121212121,0.227,21171027,2017,1968,1
46,1,4,1,0.121212121,0.24552381,21171029,2014,1968,1
49,1,4,1,0.121212121,0.242571429,21171033,2017,1968,1
49,1,4,1,0.151515152,0.303142857,21171038,2017,1968,1
49,1,4,1,0.151515152,0.204428571,21171040,2017,1968,1
46,1,3,1,0.121212121,0.321380952,21171044,2014,1968,1
43,1,3,1,0.151515152,0.193619048,21175013,2013,1970,1
43,1,3,1,0.151515152,0.177047619,21175020,2013,1970,1
43,1,3,1,0.151515152,0.183619048,21175032,2013,1970,1
43,1,2,1,0.151515152,0.079238095,21175044,2013,1970,1
43,1,3,1,0.151515152,0.204714286,21175056,2013,1970,1
43,1,3,1,0.151515152,0.145904762,21175068,2013,1970,1
27,1,1,1,0.151515152,0.141142857,21175078,2013,1986,1
27,1,2,1,0.151515152,0.118095238,21175090,2013,1986,1
29,1,2,1,0.151515152,0.138095238,21176006,2013,1984,1
29,1,3,1,0.151515152,0.195,21176011,2013,1984,1
29,1,2,1,0.151515152,0.138333333,21176023,2013,1984,1
27,1,2,1,0.151515152,0.089857143,21176035,2013,1986,1
27,1,1,1,0.151515152,0.114285714,21176047,2013,1986,1
27,1,1,1,0.151515152,0.128428571,21176059,2013,1986,1
27,1,2,1,0.151515152,0.14047619,21176071,2013,1986,1
27,1,1,1,0.151515152,0.135714286,21176079,2013,1986,1
27,1,1,1,0.151515152,0.10952381,21176086,2013,1986,1
27,1,3,1,0.151515152,0.134285714,21176098,2013,1986,1
27,1,1,1,0.151515152,0.132571429,21177001,2013,1986,1
27,1,2,1,0.151515152,0.066666667,21177015,2013,1986,1
27,1,3,1,0.151515152,0.135714286,21177027,2013,1986,1
27,1,1,1,0.151515152,0.10952381,21177049,2013,1986,1
27,1,1,1,0.151515152,0.162380952,21177061,2013,1986,1
29,1,1,1,0.181818182,0.13,21177085,2013,1984,1
27,1,4,1,0.151515152,0.126190476,21177090,2013,1986,1
27,1,1,1,0.151515152,0.114285714,21177102,2013,1986,1
27,1,1,1,0.151515152,0.133333333,21177112,2013,1986,1
27,1,3,1,0.151515152,0.126428571,21177128,2013,1986,1
27,1,2,1,0.151515152,0.126904762,21177132,2013,1986,1
27,1,1,1,0.151515152,0.13047619,21178008,2013,1986,1
27,1,3,1,0.151515152,0.119047619,21178027,2013,1986,1
27,1,2,1,0.151515152,0.109,21178039,2013,1986,1
26,1,3,1,0.151515152,0.171809524,21180004,2014,1988,1
31,1,3,1,0.151515152,0.19347619,21180035,2014,1983,1
31,1,2,1,0.151515152,0.223285714,21180075,2014,1983,1
46,1,3,1,0.121212121,0.183333333,21180110,2014,1968,1
27,1,3,1,0.151515152,0.184952381,21181002,2014,1987,1
46,1,4,1,0.121212121,0.114571429,21181007,2014,1968,1
46,1,3,1,0.121212121,0.229619048,21181013,2014,1968,1
46,1,4,1,0.121212121,0.205095238,21181040,2014,1968,1
46,1,3,1,0.121212121,0.247666667,21181067,2014,1968,1
28,1,3,1,0.212121212,0.178714286,21184001,2014,1986,1
27,1,2,1,0.151515152,0.194380952,21184035,2014,1987,1
43,1,2,1,0.151515152,0.154285714,21185012,2013,1970,1
43,1,2,1,0.151515152,0.15547619,21185024,2013,1970,1
43,1,4,1,0.151515152,0.145333333,21185035,2013,1970,1
27,1,1,1,0.151515152,0.088095238,21186008,2013,1986,1
29,1,1,1,0.151515152,0.099047619,21186014,2013,1984,1
27,1,1,1,0.151515152,0.130952381,21186028,2013,1986,1
27,1,1,1,0.151515152,0.135714286,21186040,2013,1986,1
27,1,1,1,0.151515152,0.107142857,21186052,2013,1986,1
27,1,1,1,0.151515152,0.137619048,21186064,2013,1986,1
27,1,1,1,0.151515152,0.133333333,21186076,2013,1986,1
27,1,1,1,0.151515152,0.122857143,21186087,2013,1986,1
29,1,2,1,0.151515152,0.142857143,21186091,2013,1984,1
27,1,2,1,0.151515152,0.095238095,21186103,2013,1986,1
27,1,4,1,0.151515152,0.178571429,21187023,2013,1986,1
29,1,1,1,0.212121212,0.133571429,21187035,2013,1984,1
27,1,4,1,0.151515152,0.128809524,21187047,2013,1986,1
27,1,1,1,0.151515152,0.133095238,21187059,2013,1986,1
27,1,1,1,0.151515152,0.029047619,21187065,2013,1986,1
29,1,1,1,0.151515152,0.117857143,21187077,2013,1984,1
27,1,1,1,0.151515152,0.127619048,21187089,2013,1986,1
27,1,2,1,0.151515152,0.13547619,21187099,2013,1986,1
