経過年数,建設時健全度（1と仮定）,調査時健全度,定数項（x1＝1）,管径,管渠延長,スパンID,調査年,建設年,材質番号（1 ヒューム管）
21,1,2,1,0.181818182,0.212380952,11932018,2013,1992,1
22,1,2,1,0.181818182,0.08552381,11932021,2014,1992,1
23,1,1,1,0.151515152,0.151619048,11933003,2013,1990,1
32,1,1,1,0.151515152,0.235714286,11937007,2013,1981,1
35,1,1,1,0.151515152,0.187142857,11937018,2013,1978,1
35,1,3,1,0.151515152,0.231428571,11937030,2013,1978,1
32,1,1,1,0.151515152,0.187142857,11937054,2013,1981,1
35,1,2,1,0.151515152,0.125714286,11938029,2013,1978,1
35,1,3,1,0.151515152,0.208571429,11938070,2013,1978,1
35,1,4,1,0.151515152,0.167142857,11939024,2013,1978,1
35,1,2,1,0.151515152,0.155238095,11939045,2013,1978,1
35,1,1,1,0.151515152,0.20952381,11939059,2013,1978,1
32,1,3,1,0.151515152,0.163333333,11947019,2013,1981,1
32,1,2,1,0.151515152,0.189047619,11948004,2013,1981,1
35,1,2,1,0.151515152,0.167142857,11948039,2013,1978,1
32,1,2,1,0.151515152,0.183333333,11948063,2013,1981,1
35,1,1,1,0.151515152,0.088571429,11949010,2013,1978,1
35,1,3,1,0.151515152,0.166190476,11949022,2013,1978,1
35,1,1,1,0.151515152,0.125238095,11958001,2013,1978,1
33,1,1,1,0.303030303,0.221428571,11959007,2013,1980,1
35,1,2,1,0.151515152,0.191428571,11959044,2013,1978,1
18,1,1,1,0.151515152,0.133333333,11960004,2010,1992,1
19,1,1,1,0.151515152,0.114619048,11960017,2010,1991,1
18,1,1,1,0.151515152,0.138,11960031,2010,1992,1
18,1,1,1,0.151515152,0.142857143,11960041,2010,1992,1
18,1,1,1,0.151515152,0.142666667,11960053,2010,1992,1
18,1,1,1,0.151515152,0.109285714,11960065,2010,1992,1
18,1,1,1,0.151515152,0.120333333,11960077,2010,1992,1
19,1,3,1,0.151515152,0.119190476,11963005,2010,1991,1
21,1,1,1,0.151515152,0.094285714,11970002,2010,1989,1
